Reaper Map Alt,,MA alt,Reaper Map neu,,,MA,,,,Ziel,,,,,,TODO
Channel,Note,ID alt,Ch Name,Ch#,Note,Remote Type,Remote ID,Tested,Reset,Kategorie,Action,Action Detail,Reaper Label,Fixture #,Submodul,
15,10,15.111,JBMH,4,24,exec,-,,,JBMH,FadeOut-white,,FadeOut White JBMH1,1,1,
15,6,15.107,JBMH,4,25,exec,4.115,,,JBMH,FadeOut,,FadeOut JBMH2,2,1,
15,11,15.112,JBMH,4,25,exec,-,,,JBMH,FadeOut-white,,FadeOut White JBMH2,2,1,
15,7,15.108,JBMH,4,26,exec,4.116,,,JBMH,FadeOut,,FadeOut JBMH3,3,1,
15,12,15.113,JBMH,4,26,exec,-,,,JBMH,FadeOut-white,,FadeOut White JBMH3,3,1,
15,8,15.109,JBMH,4,27,exec,4.117,,,JBMH,FadeOut,,FadeOut JBMH4,4,1,
15,13,15.114,JBMH,4,27,exec,-,,,JBMH,FadeOut-white,,FadeOut White JBMH4,4,1,
15,35,15.136,JBMH,4,28,exec,-,,,JBMH,S12,,S12 JBMH1,1,1,
15,40,15.141,JBMH,4,28,exec,-,,,JBMH,S12-white,,S12 White JBMH1,1,1,
15,50,15.151,JBMH,4,28,exec,4.118,,,JBMH,S16,,S16 JBMH1,1,1,
15,55,15.156,JBMH,4,28,exec,-,,,JBMH,S16-white,,S16 White JBMH1,1,1,
15,65,15.166,JBMH,4,28,exec,-,,,JBMH,S24,,S24 JBMH1,1,1,
15,70,15.171,JBMH,4,28,exec,-,,,JBMH,S24-white,,S24 White JBMH1,1,1,
15,36,15.137,JBMH,4,29,exec,-,,,JBMH,S12,,S12 JBMH2,2,1,
15,41,15.142,JBMH,4,29,exec,-,,,JBMH,S12-white,,S12 White JBMH2,2,1,
15,51,15.152,JBMH,4,29,exec,4.119,,,JBMH,S16,,S16 JBMH2,2,1,
15,56,15.157,JBMH,4,29,exec,-,,,JBMH,S16-white,,S16 White JBMH2,2,1,
15,66,15.167,JBMH,4,29,exec,-,,,JBMH,S24,,S24 JBMH2,2,1,
15,71,15.172,JBMH,4,29,exec,-,,,JBMH,S24-white,,S24 White JBMH2,2,1,
15,37,15.138,JBMH,4,30,exec,-,,,JBMH,S12,,S12 JBMH3,3,1,
15,42,15.143,JBMH,4,30,exec,-,,,JBMH,S12-white,,S12 White JBMH3,3,1,
15,52,15.153,JBMH,4,30,exec,4.120,,,JBMH,S16,,S16 JBMH3,3,1,
15,57,15.158,JBMH,4,30,exec,-,,,JBMH,S16-white,,S16 White JBMH3,3,1,
15,67,15.168,JBMH,4,30,exec,-,,,JBMH,S24,,S24 JBMH3,3,1,
15,72,15.173,JBMH,4,30,exec,-,,,JBMH,S24-white,,S24 White JBMH3,3,1,
15,38,15.139,JBMH,4,31,exec,-,,,JBMH,S12,,S12 JBMH4,4,1,
15,43,15.144,JBMH,4,31,exec,-,,,JBMH,S12-white,,S12 White JBMH4,4,1,
15,53,15.154,JBMH,4,31,exec,4.121,,,JBMH,S16,,S16 JBMH4,4,1,
15,58,15.159,JBMH,4,31,exec,-,,,JBMH,S16-white,,S16 White JBMH4,4,1,
15,68,15.169,JBMH,4,31,exec,-,,,JBMH,S24,,S24 JBMH4,4,1,
15,73,15.174,JBMH,4,31,exec,-,,,JBMH,S24-white,,S24 White JBMH4,4,1,
,,,JBMH,4,32,exec,4.122,,,,,,FX / empty,,,
,,,JBMH,4,33,exec,4.123,,,,,,FX / empty,,,
,,,JBMH,4,34,exec,4.124,,,,,,FX / empty,,,
,,,JBMH,4,35,exec,4.125,,,,,,FX / empty,,,
,,,JBMH,4,36,exec,4.126,,,,,,FX / empty,,,
,,,JBMH,4,37,exec,4.127,,,,,,FX / empty,,,
,,,JBMH,4,38,exec,4.128,,,,,,FX / empty,,,
,,,JBMH,4,39,exec,4.129,,,,,,FX / empty,,,
,,,JBMH,4,40,exec,4.130,,,,,,FX / empty,,,
,,,JBMH,4,41,exec,4.131,,,,,,FX / empty,,,
13,76,13.176,JBMH,4,41,exec,4.131,,,JBMH,Position,,Pos Audience 60deg,,,
13,77,13.177,JBMH,4,42,exec,4.132,,,JBMH,Position,,Pos J+N+H,,,
